127.0.0.1 - - [12/Jul/2020:18:59:21 -0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [12/Jul/2020:18:59:33 -0700] "GET /onlineShop/login HTTP/1.1" 200 4970
0:0:0:0:0:0:0:1 - - [12/Jul/2020:18:59:33 -0700] "GET /resource/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 768
0:0:0:0:0:0:0:1 - - [12/Jul/2020:18:59:33 -0700] "GET /resource/bootstrap/js/bootstrap.min.js HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [12/Jul/2020:18:59:33 -0700] "GET /resource/js/jquery.js HTTP/1.1" 404 745
0:0:0:0:0:0:0:1 - - [12/Jul/2020:18:59:33 -0700] "GET /resource/bootstrap/js/bootstrap.min.js HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [12/Jul/2020:18:59:33 -0700] "GET /onlineShop/resource/css/overall.css HTTP/1.1" 200 1327
0:0:0:0:0:0:0:1 - - [12/Jul/2020:18:59:33 -0700] "GET /onlineShop/resource/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [12/Jul/2020:18:59:33 -0700] "GET /onlineShop/resource/js/jquery.js HTTP/1.1" 200 86926
0:0:0:0:0:0:0:1 - - [12/Jul/2020:18:59:33 -0700] "GET /onlineShop/resource/images/logo.png HTTP/1.1" 200 11231
0:0:0:0:0:0:0:1 - - [12/Jul/2020:18:59:33 -0700] "GET /onlineShop/resource/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [12/Jul/2020:18:59:33 -0700] "GET /onlineShop/resource/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [12/Jul/2020:18:59:34 -0700] "GET /onlineShop/resource/js/jquery.js HTTP/1.1" 200 86926
0:0:0:0:0:0:0:1 - - [12/Jul/2020:18:59:34 -0700] "GET /onlineShop/resource/bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [12/Jul/2020:18:59:34 -0700] "GET /onlineShop/resource/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [12/Jul/2020:18:59:34 -0700] "GET /onlineShop/resource/css/overall.css HTTP/1.1" 200 1327
0:0:0:0:0:0:0:1 - - [12/Jul/2020:18:59:36 -0700] "GET /onlineShop/index HTTP/1.1" 200 9915
0:0:0:0:0:0:0:1 - - [12/Jul/2020:18:59:36 -0700] "GET /onlineShop/resource/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [12/Jul/2020:18:59:36 -0700] "GET /onlineShop/resource/js/jquery.js HTTP/1.1" 200 86926
0:0:0:0:0:0:0:1 - - [12/Jul/2020:18:59:36 -0700] "GET /onlineShop/resource/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [12/Jul/2020:18:59:36 -0700] "GET /onlineShop/resource/css/overall.css HTTP/1.1" 200 1327
0:0:0:0:0:0:0:1 - - [12/Jul/2020:18:59:36 -0700] "GET /onlineShop/resource/images/logo.png HTTP/1.1" 200 11231
0:0:0:0:0:0:0:1 - - [12/Jul/2020:18:59:36 -0700] "GET /onlineShop/resource/images/shopping1.jpg HTTP/1.1" 200 22527
0:0:0:0:0:0:0:1 - - [12/Jul/2020:18:59:36 -0700] "GET /onlineShop/resource/images/pixel.jpg HTTP/1.1" 200 89722
0:0:0:0:0:0:0:1 - - [12/Jul/2020:18:59:36 -0700] "GET /onlineShop/resource/images/buy.jpg HTTP/1.1" 200 34843
0:0:0:0:0:0:0:1 - - [12/Jul/2020:18:59:36 -0700] "GET /onlineShop/resource/images/shopping.jpg HTTP/1.1" 200 71874
0:0:0:0:0:0:0:1 - - [12/Jul/2020:18:59:36 -0700] "GET /onlineShop/resource/images/products/sonyxm3.jpg HTTP/1.1" 200 79680
